com,1
org,1
.,1
net,1
int,1
edu,1
gov,1
mil,1
arpa,1
aa,0,
ab,0
ac,2
ad,2
ae,2
af,2
ag,2
ah,0
ai,2
aj,0
ak,0
al,2
am,2
an,2
ao,2
ap,0
aq,2
ar,2
as,2
at,2
au,2
av,0
aw,2
ax,2
ay,0
az,2
ba,2
bb,2
bc,0
bd,2
be,2
bf,2
bg,2
bh,2
bi,2
bj,2
bk,0
bl,0
bm,2
bn,2
bo,2
bp,0
bq,2
br,2
bs,2
bt,2
bu,0
bv,2
bw,2
bx,0
by,2
bz,2
ca,2
cb,0
cc,2,
cd,2
ce,0
cf,2
cg,2
ch,2
ci,2
cj,0
ck,2
cl,2
cm,2
cn,2
co,2
cp,0
cq,0
cr,2
cs,0
ct,0
cu,2
cv,2
cw,2
cx,2
cy,2
cz,2
da,0
db,0
dc,0
dd,0
de,2
df,0
dg,0
dh,0
di,0
dj,2
dk,2
dl,0
dm,2
dn,0
do,2
dp,0
dq,0
dr,0
ds,0
dt,0
du,0
dv,0
dw,0
dx,0
dy,0
dz,2
ea,0
eb,0
ec,2
ed,0
ee,2
ef,0
eg,2
eh,2
ei,0
ej,0
ek,0
el,0
em,0
en,0
eo,0
ep,0
eq,0
er,2
es,2
et,2
eu,3
ev,0
ew,0
ex,0
ey,0
ez,0
fa,0
fb,0
fc,0
fd,0
fe,0
ff,0
fg,0
fh,0
fi,2
fj,2
fk,2
fl,0
fm,2
fn,0


